prioridad,barberia,comuna,direccion,sistema_actual,link_reserva_o_web,angulo_de_venta,nota
B - media,Barbería Bear Men Studio,Valparaíso / Viña del Mar,Por confirmar,AgendaPro + web propia,https://agendapro.com/mp/cl/pl/barberia-bear-men-studio-valparaiso/212413,Ya invierte en marca (bear-menstudio.cl): venderle marketing y campañas,IG @bear_menstudio
B - media,Barberos Chile,Valparaíso,Por confirmar,AgendaPro,https://agendapro.com/mp/cl/pl/barberos-chile-valparaiso/40259,Ficha genérica AgendaPro,
B - media,Evolution Barber Shop & Club,Valparaíso,Por confirmar,AgendaPro,https://agendapro.com/mp/cl/barberias-region-de-valparaiso,Ficha genérica AgendaPro,
B - media,Barbería Los Pinos Barber,Región de Valparaíso,Por confirmar,AgendaPro,https://agendapro.com/mp/cl/pl/barberia-los-pinos-barber-region-de-valparaiso/217082,Ficha genérica AgendaPro,Confirmar comuna
B - media,Barbería Alfa Men,Viña del Mar / Villa Alemana / Concón,Valparaíso 694 L14 (Viña); Av. Valparaíso 407 (V. Alemana),AgendaPro + TIMIFY (Concón),https://agendapro.com/mp/cl/pl/barberia-alfa-men-vina-del-mar/40741,Cadena con 3 locales y 2 sistemas distintos: unificar en uno,Cliente grande: plan multi-sucursal
B - media,Barber Club Viña,Viña del Mar,Por confirmar,AgendaPro,https://agendapro.com/mp/cl/pl/barber-club-vina-vina-del-mar/40697,Ficha genérica AgendaPro,
B - media,Chic&Barber,Viña del Mar,Por confirmar,AgendaPro,https://agendapro.com/mp/cl/pl/chic-barber-vina-del-mar/212207,Ficha genérica AgendaPro,
B - media,Barber Company GS,Viña del Mar,Por confirmar,AgendaPro (sitio AgendaPro),https://barbercompany.site.agendapro.com/cl/sucursal/117060,Usa el sitio plantilla de AgendaPro: ofrecer diseño propio,
B - media,Barbería Black Sheep,Viña del Mar,"Von Schroeder 229, local 1",AgendaPro,https://agendapro.com/mp/cl/barberias-vina-del-mar,Ficha genérica AgendaPro,Ofrece barbería móvil
B - media,Lion Barbershop Viña,Viña del Mar,Por confirmar,AgendaPro,https://agendapro.com/site/cl/barberiadelionbarbershop/456819,Solo 7 reseñas en AgendaPro: ofrecer flujo de reseñas Google,
B - media,Único Barber Club,Viña del Mar,Por confirmar,AgendaPro,https://agendapro.com/mp/cl/pl/barberia-y-peluqueria-unico-barber-club-vina-del-mar/212433,Ficha genérica AgendaPro,
B - media,ADI Barber Studio,Viña del Mar,3 Norte 215,AgendaPro,https://agendapro.com/mp/cl/barberias-vina-del-mar,Ficha genérica AgendaPro,
B - media,Barbería Ferraza,Viña del Mar,"Libertad 63, local 28",AgendaPro + Fresha,https://www.fresha.com/a/ferraza-salon-vina-del-mar-vina-del-mar-avenida-libertad-63-zf53zkqc,Paga o mantiene 2 plataformas: unificar,
B - media,Sin Fronteras Barbershop,Concón,Por confirmar,AgendaPro,https://agendapro.com/mp/cl/pl/sin-fronteras-barbershop-concon/41959,Ficha genérica AgendaPro,Abre también domingo
B - media,Texas Barber Club,Concón,Por confirmar,AgendaPro,https://agendapro.com/mp/cl/pl/texas-barber-club-concon/41915,Ficha genérica AgendaPro,
B - media,Clandestins,Concón,Por confirmar,AgendaPro,https://agendapro.com/mp/cl/pl/clandestins-concon/41914,Ficha genérica AgendaPro,
B - media,Barbería W,Concón,Por confirmar,AgendaPro,https://agendapro.com/mp/cl/pl/barberia-w-concon/212482,Ficha genérica AgendaPro,
B - media,Lions Barber Shop,Villa Alemana,"Av. Valparaíso 638, local 3A",AgendaPro,https://agendapro.com/mp/cl/barberias-villa-alemana,Ficha genérica AgendaPro,
B - media,Casa Pichara,Villa Alemana,Por confirmar,AgendaPro,https://agendapro.com/mp/cl/pl/casa-pichara-villa-alemana/40465,Ficha genérica AgendaPro,
B - media,Platino Studio Barbershop,Quintero,Por confirmar,AgendaPro,https://agendapro.com/mp/cl/barberias-region-de-valparaiso,Ficha genérica AgendaPro,
B - media,OTTO Barbería,Quillota,Por confirmar,AgendaPro,https://agendapro.com/mp/cl/barberias-quillota,Ficha genérica AgendaPro,
B - media,El Cortés Barbershop,Quillota,Mall Paseo Shopping Quillota,AgendaPro (sitio AgendaPro),https://elcortesbarbershop.site.agendapro.com/cl,Sitio plantilla AgendaPro,
B - media,Barbería Sofía,Limache,Av. República 125,AgendaPro,https://agendapro.com/mp/cl/barberias-limache,Ficha genérica AgendaPro,
B - media,Joker Studio,Limache,Av. República 634,AgendaPro,https://agendapro.com/mp/cl/barberias-limache,Ficha genérica AgendaPro,
B - media,Barbería Imperio,San Antonio,Por confirmar,AgendaPro,https://agendapro.com/mp/cl/pl/barberia-imperio-san-antonio/38678,Ficha genérica AgendaPro,
B - media,Barbería Garrison's,San Antonio,Av. Chile 79,AgendaPro,https://agendapro.com/site/cl/barberiagarrisons/374901,Ficha genérica AgendaPro,
B - media,El Club de la Navaja,San Antonio,Av. Chile 105,AgendaPro,https://agendapro.com/mp/cl/barberias-san-antonio,Concepto vintage/lujo: le calza una web con identidad propia,
B - media,Barbería & Peluquería El Dominicano,Los Andes,Maipú 653,AgendaPro,https://agendapro.com/mp/cl/pl/barberia-peluqueria-el-dominicano-los-andes/212108,Ficha genérica AgendaPro,Abre hasta 21:30
B - media,Peluquería y Barbería Bolero,Los Andes,Por confirmar,AgendaPro,https://agendapro.com/mp/cl/pl/peluqueria-y-barberia-bolero-los-andes/36234,Ficha genérica AgendaPro,
B - media,Pansho Style Barbershop,Los Andes,Av. Independencia 312,AgendaPro,https://agendapro.com/mp/cl/barberias-los-andes,Ficha genérica AgendaPro,
B - media,Peluquería Shekan,Algarrobo,Por confirmar,AgendaPro,https://agendapro.com/mp/cl/barberias-algarrobo,Ficha genérica AgendaPro,
C - baja (referencia),D'Jones Barber,Viña del Mar,Villanelo 279,Web propia + AgendaPro,https://www.djonesbarberia.cl/,Ya tiene web hecha por agencia (Synaptech). Referencia de lo que ofrece la competencia local,"Vende American Crew, Layrite, Suavecito"
C - baja (referencia),Mapu Barber Shop,Valparaíso + Viña del Mar,Blanco 974 L01 (Valpo); 1 Oriente 876 (Viña),Web con tienda + AgendaPro,https://mapubarbershop.cl/,"2 sucursales, tienda online y AgendaPro: el referente premium de la zona","Venderle solo marketing, no la app"
C - baja (referencia),Epoca Barber Antique,Quillota + Limache,Castro 170 (Quillota); Serrano 260 (Limache),Sistema de reservas propio con dominio,https://reservas.epocabarber.cl/,Ya tiene subdominio de reservas con marca: el modelo que tú quieres vender,Estudiar su flujo como referencia
C - baja (referencia),Humano Salón Barber,Viña del Mar,Por confirmar,Web propia + AgendaPro,https://humanosalonbarber.cl/,Ya digitalizado,Referencia
C - baja (referencia),Studio Concón,Concón,Por confirmar,Web propia + sitio AgendaPro,https://www.studioconcon.cl/barberia-2/,Ya digitalizado,Referencia
C - baja (referencia),Locos Salón Integral,San Felipe,Arturo Prat 740,Web propia con reserva,https://locosbarber.cl/,Ya digitalizado,Referencia
